trial,async_upload_ms,async_e2e_ms,sync_total_ms,async_status,sync_status
0,366,3184,1267,success,success
1,338,2393,284,success,success
2,64,1609,270,success,success
3,52,1595,285,success,success
4,52,2108,328,success,success
5,54,1601,278,success,success
6,58,1608,292,success,success
7,52,1600,279,success,success
8,51,1599,379,success,success
9,64,1610,425,success,success
10,53,1603,356,success,success
11,59,1608,330,success,success
12,49,2106,272,success,success
13,81,1627,272,success,success
14,57,2117,281,success,success
15,61,1606,293,success,success
16,57,1603,277,success,success
17,51,1598,278,success,success
18,50,1597,280,success,success
19,70,1617,262,success,success
20,50,1596,263,success,success
21,83,1116,261,success,success
22,52,2110,267,success,success
23,50,1598,261,success,success
24,68,2126,333,success,success
25,55,1603,297,success,success
26,51,1598,258,success,success
27,51,1086,255,success,success
28,64,1098,378,success,success
29,49,2107,273,success,success
