rekog_enabled,trial,pillow_ms,rekog_ms,total_ms,e2e_ms,label_count,status
True,0,153,329,749,3161,3,success
True,1,45,248,417,1619,3,success
True,2,36,308,468,1598,3,success
True,3,35,307,467,2142,3,success
True,4,38,288,446,1086,3,success
True,5,34,256,413,1596,3,success
True,6,42,240,394,1592,3,success
True,7,34,244,401,2109,3,success
True,8,26,271,416,1092,3,success
True,9,30,264,419,1603,3,success
True,10,33,371,522,1604,3,success
True,11,42,276,430,1593,3,success
True,12,26,282,429,2113,3,success
True,13,38,293,476,1089,3,success
True,14,42,271,437,1598,3,success
True,15,42,295,463,1601,3,success
True,16,38,259,404,2114,3,success
True,17,30,284,422,1602,3,success
True,18,34,296,450,2104,3,success
True,19,26,270,421,1086,3,success
True,20,42,266,427,1593,3,success
True,21,34,260,411,1596,3,success
True,22,34,272,438,1091,3,success
True,23,34,273,426,1594,3,success
True,24,30,276,439,1086,3,success
True,25,46,294,443,1596,3,success
True,26,29,270,407,1591,3,success
True,27,38,278,427,1592,3,success
True,28,29,245,397,1594,3,success
True,29,38,264,407,2110,3,success
False,0,138,0,419,2942,0,success
False,1,56,0,168,1108,0,success
False,2,32,0,160,1600,0,success
False,3,25,0,143,1600,0,success
False,4,30,0,141,1093,0,success
False,5,34,0,172,1085,0,success
False,6,29,0,157,1606,0,success
False,7,30,0,145,1608,0,success
False,8,30,0,153,1087,0,success
False,9,30,0,162,1602,0,success
False,10,46,0,154,1600,0,success
False,11,30,0,147,1123,0,success
False,12,30,0,144,1605,0,success
False,13,29,0,142,1090,0,success
False,14,30,0,174,1595,0,success
False,15,25,0,144,1086,0,success
False,16,38,0,139,1602,0,success
False,17,29,0,139,1604,0,success
False,18,42,0,173,1602,0,success
False,19,39,0,148,1089,0,success
False,20,38,0,144,1603,0,success
False,21,26,0,155,1602,0,success
False,22,29,0,133,1087,0,success
False,23,38,0,141,1090,0,success
False,24,38,0,152,1594,0,success
False,25,34,0,206,1596,0,success
False,26,38,0,151,1085,0,success
False,27,42,0,156,1602,0,success
False,28,42,0,149,1594,0,success
False,29,46,0,151,1091,0,success
