concurrency,trial,total_files,completed,total_ms,avg_per_file
1,0,1,1,3173,3173
1,1,1,1,2431,2431
1,2,1,1,1875,1875
1,3,1,1,2406,2406
1,4,1,1,2423,2423
1,5,1,1,2450,2450
1,6,1,1,2942,2942
1,7,1,1,2410,2410
1,8,1,1,2924,2924
1,9,1,1,2934,2934
5,0,5,5,4240,848
5,1,5,5,3208,641
5,2,5,5,2747,549
5,3,5,5,3266,653
5,4,5,5,3241,648
5,5,5,5,3211,642
5,6,5,5,2686,537
5,7,5,5,3227,645
5,8,5,5,3204,640
5,9,5,5,3720,744
10,0,10,10,5322,532
10,1,10,10,4309,430
10,2,10,10,4305,430
10,3,10,10,4305,430
10,4,10,10,5297,529
10,5,10,10,4254,425
10,6,10,10,4303,430
10,7,10,10,4568,456
10,8,10,10,4474,447
10,9,10,10,4177,417
