rekog_enabled,trial,pillow_ms,rekog_ms,total_ms,e2e_ms,label_count,status
True,0,352,349,1093,3170,3,success
True,1,230,306,647,2156,3,success
True,2,216,348,704,2112,3,success
True,3,205,321,649,2117,3,success
True,4,202,384,711,1614,3,success
True,5,214,439,838,2632,3,success
True,6,193,309,646,2111,3,success
True,7,202,347,708,2112,3,success
True,8,202,308,666,2114,3,success
True,9,197,326,647,2123,3,success
True,10,194,297,618,1607,3,success
True,11,198,289,608,2111,3,success
True,12,206,287,672,1613,3,success
True,13,207,310,708,2185,3,success
True,14,210,280,692,2633,3,success
True,15,218,311,653,2148,3,success
True,16,212,320,642,2117,3,success
True,17,214,315,640,2111,3,success
True,18,211,378,696,2124,3,success
True,19,207,309,635,1605,3,success
True,20,203,289,619,2122,3,success
True,21,207,288,618,1632,3,success
True,22,199,352,671,2118,3,success
True,23,198,293,613,2628,3,success
True,24,210,311,629,2120,3,success
True,25,198,333,660,2107,3,success
True,26,205,353,692,2617,3,success
True,27,214,261,581,2109,3,success
True,28,201,337,664,2129,3,success
True,29,201,427,755,2621,3,success
False,0,369,0,658,2949,0,success
False,1,203,0,351,2118,0,success
False,2,215,0,365,1109,0,success
False,3,211,0,375,1622,0,success
False,4,202,0,333,1094,0,success
False,5,214,0,326,1614,0,success
False,6,190,0,314,1604,0,success
False,7,202,0,337,1088,0,success
False,8,190,0,318,1605,0,success
False,9,201,0,331,1098,0,success
False,10,202,0,333,1616,0,success
False,11,194,0,331,1607,0,success
False,12,205,0,315,1612,0,success
False,13,203,0,335,2115,0,success
False,14,210,0,327,1610,0,success
False,15,202,0,320,1606,0,success
False,16,203,0,320,1612,0,success
False,17,207,0,334,1603,0,success
False,18,210,0,313,1093,0,success
False,19,194,0,312,1602,0,success
False,20,218,0,324,1614,0,success
False,21,210,0,334,1096,0,success
False,22,210,0,325,1601,0,success
False,23,198,0,324,1088,0,success
False,24,205,0,312,1613,0,success
False,25,202,0,330,1609,0,success
False,26,218,0,333,1106,0,success
False,27,198,0,317,1605,0,success
False,28,214,0,332,1605,0,success
False,29,206,0,325,1609,0,success
