size_kb,trial,pillow_ms,rekog_ms,total_ms,e2e_ms,status
100,0,76,392,717,3230,success
100,1,3,232,332,2105,success
100,2,2,207,321,1082,success
100,3,2,311,404,1605,success
100,4,2,244,381,1590,success
100,5,2,224,328,2140,success
100,6,2,225,349,1638,success
100,7,2,258,356,2103,success
100,8,2,248,362,1598,success
100,9,2,212,310,1588,success
100,10,2,243,338,1591,success
100,11,2,225,327,1591,success
100,12,2,212,304,1591,success
100,13,2,223,330,2099,success
100,14,2,200,312,1076,success
100,15,2,269,362,1588,success
100,16,2,237,334,1590,success
100,17,2,209,310,1131,success
100,18,2,214,323,1593,success
100,19,2,220,318,1084,success
100,20,2,239,342,1591,success
100,21,2,231,334,1588,success
100,22,2,199,302,1086,success
100,23,2,250,361,1593,success
100,24,2,207,301,1082,success
100,25,2,251,389,1598,success
100,26,2,324,421,1595,success
100,27,2,207,311,1594,success
100,28,2,210,305,1077,success
100,29,2,214,309,1591,success
500,0,22,268,393,1609,success
500,1,7,270,372,1085,success
500,2,11,276,393,1596,success
500,3,7,243,360,1082,success
500,4,7,250,366,1595,success
500,5,23,244,363,1593,success
500,6,23,242,366,1599,success
500,7,16,250,371,1594,success
500,8,11,258,367,1594,success
500,9,11,278,404,1604,success
500,10,20,243,367,1089,success
500,11,15,228,346,1600,success
500,12,11,267,423,1596,success
500,13,7,292,424,1088,success
500,14,7,217,346,1591,success
500,15,23,235,383,1603,success
500,16,15,262,376,1113,success
500,17,15,236,342,1596,success
500,18,7,239,352,1604,success
500,19,7,257,369,1088,success
500,20,7,216,390,1597,success
500,21,12,232,353,1591,success
500,22,7,295,407,2110,success
500,23,19,223,372,1080,success
500,24,7,222,357,1617,success
500,25,11,246,377,1594,success
500,26,7,246,370,1094,success
500,27,7,249,373,1592,success
500,28,19,237,387,1591,success
500,29,15,309,418,2114,success
1024,0,57,355,518,1085,success
1024,1,44,273,487,1609,success
1024,2,40,328,493,1594,success
1024,3,28,262,412,1090,success
1024,4,44,242,402,1606,success
1024,5,44,281,437,1086,success
1024,6,32,264,481,1662,success
1024,7,39,397,609,2477,success
1024,8,39,224,383,1091,success
1024,9,44,247,483,1598,success
1024,10,47,233,402,1598,success
1024,11,46,270,440,2112,success
1024,12,43,292,504,1602,success
1024,13,36,262,420,2173,success
1024,14,43,251,435,1089,success
1024,15,35,257,408,1595,success
1024,16,36,255,425,1601,success
1024,17,43,267,427,2118,success
1024,18,36,254,425,1597,success
1024,19,43,252,444,2131,success
1024,20,44,249,396,1088,success
1024,21,35,403,549,1600,success
1024,22,36,243,396,1088,success
1024,23,31,289,443,1602,success
1024,24,39,246,386,1602,success
1024,25,39,278,426,1090,success
1024,26,52,250,413,1600,success
1024,27,31,262,415,1602,success
1024,28,43,343,503,1086,success
1024,29,40,299,445,1600,success
3072,0,220,310,649,1621,success
3072,1,188,302,606,2153,success
3072,2,180,281,592,1618,success
3072,3,171,317,609,2146,success
3072,4,180,330,637,2140,success
3072,5,180,291,578,1609,success
3072,6,183,334,639,2129,success
3072,7,192,331,634,2119,success
3072,8,193,326,642,1610,success
3072,9,180,341,640,2123,success
3072,10,188,300,644,1616,success
3072,11,183,403,708,2123,success
3072,12,176,322,632,2123,success
3072,13,179,384,689,1616,success
3072,14,191,317,611,2143,success
3072,15,176,311,637,1616,success
3072,16,184,338,636,2132,success
3072,17,184,320,615,2121,success
3072,18,172,397,693,1616,success
3072,19,180,302,602,2130,success
3072,20,184,434,736,1614,success
3072,21,194,289,600,2123,success
3072,22,168,420,710,2649,success
3072,23,197,274,588,2123,success
3072,24,175,305,616,2125,success
3072,25,175,301,596,2123,success
3072,26,179,328,618,2131,success
3072,27,180,279,584,1614,success
3072,28,179,289,597,2137,success
3072,29,196,306,639,1620,success
5120,0,307,403,847,2139,success
5120,1,275,478,886,2663,success
5120,2,278,356,761,2136,success
5120,3,282,351,762,2137,success
5120,4,281,412,835,2651,success
5120,5,265,371,761,2133,success
5120,6,265,348,738,2142,success
5120,7,269,378,795,2137,success
5120,8,273,453,897,2521,success
5120,9,261,331,737,2140,success
5120,10,278,368,767,2138,success
5120,11,265,348,746,2141,success
5120,12,266,325,730,2149,success
5120,13,266,490,889,2667,success
5120,14,285,388,790,2143,success
5120,15,278,311,719,2137,success
5120,16,271,299,701,2159,success
5120,17,293,326,753,2649,success
5120,18,281,405,815,2135,success
5120,19,281,325,726,2139,success
5120,20,278,332,729,2142,success
5120,21,276,440,825,2644,success
5120,22,269,377,761,2144,success
5120,23,272,307,710,2136,success
5120,24,265,422,824,2133,success
5120,25,276,359,749,2170,success
5120,26,265,297,707,2149,success
5120,27,277,311,715,1625,success
5120,28,269,389,783,2141,success
5120,29,294,351,765,2661,success
