concurrency,trial,total_files,completed,total_ms,avg_per_file
1,0,1,1,3301,3301
1,1,1,1,2447,2447
1,2,1,1,1911,1911
1,3,1,1,1395,1395
1,4,1,1,1966,1966
1,5,1,1,1907,1907
1,6,1,1,1907,1907
1,7,1,1,1953,1953
1,8,1,1,3517,3517
1,9,1,1,2519,2519
5,0,5,5,4759,951
5,1,5,5,3107,621
5,2,5,5,3040,608
5,3,5,5,3454,690
5,4,5,5,3250,650
5,5,5,5,2770,554
5,6,5,5,2758,551
5,7,5,5,2711,542
5,8,5,5,3298,659
5,9,5,5,2748,549
10,0,10,10,5520,552
10,1,10,10,3993,399
10,2,10,10,4547,454
10,3,10,10,4299,429
10,4,10,10,3764,376
10,5,10,10,4261,426
10,6,10,10,4272,427
10,7,10,10,3763,376
10,8,10,10,4325,432
10,9,10,10,4342,434
20,0,20,20,8394,419
20,1,20,20,8387,419
20,2,20,20,9099,454
20,3,20,20,8657,432
20,4,20,20,11552,577
20,5,20,20,8549,427
20,6,20,20,8413,420
20,7,20,20,8988,449
20,8,20,20,9790,489
20,9,20,20,9745,487
