state,trial,e2e_ms,total_ms,status
warm,0,3752,1024,success
warm,1,2392,841,success
warm,2,1885,781,success
warm,3,1875,750,success
warm,4,2090,743,success
warm,5,2618,746,success
warm,6,1960,768,success
warm,7,1941,810,success
warm,8,1900,724,success
warm,9,1894,786,success
warm,10,2413,794,success
warm,11,2467,869,success
warm,12,1891,736,success
warm,13,1894,849,success
warm,14,1982,776,success
cold,0,3861,1048,success
cold,1,3377,1010,success
cold,2,3926,1192,success
cold,3,4281,1191,success
cold,4,3332,1039,success
cold,5,3430,999,success
cold,6,3878,1003,success
cold,7,3245,994,success
cold,8,3335,1026,success
cold,9,3346,985,success
cold,10,3959,1029,success
cold,11,3977,1023,success
cold,12,3412,1005,success
cold,13,3849,1007,success
cold,14,3851,1032,success
